Title,Title_URL,Content
Mask (Pwoom Itok),https://www.brooklynmuseum.org/opencollection/objects/2908,"
      Kuba (Bushoong subgroup); NgeendeMask (Pwoom Itok)late 19th century    "
Aramaic Adoption Contract,https://www.brooklynmuseum.org/opencollection/objects/3489,"
      AramaicAramaic Adoption ContractOctober 22, 416 B.C.E.    "
"Candlestick, One of Pair",https://www.brooklynmuseum.org/opencollection/objects/4870,"
      Gorham Manufacturing Company1865–1961Candlestick, One of Pairca. 1897    "
Prayer Stick,https://www.brooklynmuseum.org/opencollection/objects/6068,"
      AinuPrayer Sticklate 19th–early 20th century    "
Spatula,https://www.brooklynmuseum.org/opencollection/objects/6475,"
      AinuSpatulalate 19th–early 20th century    "
Roast Dish (New York from Heights Brooklyn),https://www.brooklynmuseum.org/opencollection/objects/6800,"
      Andrew Stevenson1808–1829Roast Dish (New York from Heights Brooklyn)ca. 1825    "
Engraved Whale Tooth,https://www.brooklynmuseum.org/opencollection/objects/11603,"
      Yup'ik; IñupiaqEngraved Whale Toothlate 19th century    "
Water Jar or Olla,https://www.brooklynmuseum.org/opencollection/objects/15788,"
      Ko-Tyit (Cochiti Pueblo)Water Jar or Ollalate 19th century    "
Mosaic of Date Palm Tree,https://www.brooklynmuseum.org/opencollection/objects/17086,"
      RomanMosaic of Date Palm Tree6th century C.E.    "
Thunderbird Transformation Mask,https://www.brooklynmuseum.org/opencollection/objects/19432,"
      Namgis; Kwakwaka'wakwThunderbird Transformation Mask19th century    "
Arghan Div Brings the Chest of Armor to Hamza,https://www.brooklynmuseum.org/opencollection/objects/23164,"
      IndianArghan Div Brings the Chest of Armor to Hamza1562–1577    "
Man Carrying a Cacao Pod,https://www.brooklynmuseum.org/opencollection/objects/50010,"
      AztecMan Carrying a Cacao Pod1440–1521    "
Silence,https://www.brooklynmuseum.org/opencollection/objects/59995,"
      Dante Gabriel RossettiBritish, 1828–1882Silence1870    "
Vase,https://www.brooklynmuseum.org/opencollection/objects/60154,"
      Ott and Brewer1871–1893Vaseca. 1885    "
Bowl,https://www.brooklynmuseum.org/opencollection/objects/63578,"
      Eastern WoodlandsBowlearly 19th century    "
Figural Group: Raven Surmounted by Three Seated Figures,https://www.brooklynmuseum.org/opencollection/objects/98339,"
      HaidaFigural Group: Raven Surmounted by Three Seated Figures1860–1880    "
"Kamoda Ragini, Page from a Ragamala Series",https://www.brooklynmuseum.org/opencollection/objects/105915,"
      IndianKamoda Ragini, Page from a Ragamala Seriesca. 1605–1610    "
Water Jar,https://www.brooklynmuseum.org/opencollection/objects/115076,"
      Margaret TafoyaKah'p'oo Owinge (Santa Clara Pueblo), 1904–2001Water Jarca. 1970    "
Camelid Conopa,https://www.brooklynmuseum.org/opencollection/objects/124698,"
      IncaCamelid Conopa1470–1532    "
"Napkin Clip, 1 of 2",https://www.brooklynmuseum.org/opencollection/objects/146893,"
      Charles T. Grosjean; Tiffany & CompanyNapkin Clip, 1 of 21878–1879    "
Orange and Cream Bowl,https://www.brooklynmuseum.org/opencollection/objects/155429,"
      TotonacOrange and Cream Bowlca. 900–1200    "
"""Rocking Beauty"" Hobby Horse",https://www.brooklynmuseum.org/opencollection/objects/179869,"
      Gloria Caranica; Creative Playthings, Inc.""Rocking Beauty"" Hobby Horsedesigned 1964–1966    "
Library Step-Chair,https://www.brooklynmuseum.org/opencollection/objects/186404,"
      Augustus (Auguste Emmanuel) Eliaers; James G. Blake Furniture & UpholsteryLibrary Step-Chairpatented October...    "
Reclining Jaguar,https://www.brooklynmuseum.org/opencollection/objects/468,"
      AztecReclining Jaguar1400–1521    "
Virgin of Pomata with St. Nicholas Tolentino and St. Rose of Lima,https://www.brooklynmuseum.org/opencollection/objects/687,"
      UnknownVirgin of Pomata with St. Nicholas Tolentino and St. Rose of Lima1700–1750    "
Carved Spoon with Five Animal Heads,https://www.brooklynmuseum.org/opencollection/objects/1067,"
      HaidaCarved Spoon with Five Animal Headslate 19th–early 20th century    "
Our Lady of Cocharcas Under the Baldachin,https://www.brooklynmuseum.org/opencollection/objects/1166,"
      Cuzco SchoolOur Lady of Cocharcas Under the Baldachin1765    "
John I. H. Baur,https://www.brooklynmuseum.org/opencollection/objects/2212,"
      Alice NeelAmerican, 1900–1984John I. H. Baur1974    "
Power Figure (Nkisi Nkondi),https://www.brooklynmuseum.org/opencollection/objects/2957,"
      KakongoPower Figure (Nkisi Nkondi)19th century, with 20th century restoration    "
Saint Joseph with the Flowering Rod,https://www.brooklynmuseum.org/opencollection/objects/4348,"
      Jusepe de RiberaSpanish, 1591–1652Saint Joseph with the Flowering Rodearly 1630s    "
Guardian of the Sea,https://www.brooklynmuseum.org/opencollection/objects/5016,"
      Preston SingletaryTlingit, born 1963Guardian of the Sea2004    "
Spatula,https://www.brooklynmuseum.org/opencollection/objects/5995,"
      AinuSpatulalate 19th–early 20th century    "
Long Light Prayer Stick,https://www.brooklynmuseum.org/opencollection/objects/6016,"
      AinuLong Light Prayer Sticklate 19th – early 20th century    "
Long Straight Prayer Stick,https://www.brooklynmuseum.org/opencollection/objects/6088,"
      AinuLong Straight Prayer Sticklate 19th – early 20th century    "
Light Prayer Stick,https://www.brooklynmuseum.org/opencollection/objects/6112,"
      AinuLight Prayer Sticklate 19th – early 20th century    "
Tray,https://www.brooklynmuseum.org/opencollection/objects/6141,"
      AinuTraylate 19th – early 20th century    "
Beads Strung on Cord,https://www.brooklynmuseum.org/opencollection/objects/6265,"
      AinuBeads Strung on Cordlate 19th – early 20th century    "
Tobacco Box with Cover,https://www.brooklynmuseum.org/opencollection/objects/6303,"
      AinuTobacco Box with Coverlate 19th – early 20th century    "
Attush-pera (weft beater),https://www.brooklynmuseum.org/opencollection/objects/6276,"
      AinuAttush-pera (weft beater)late 19th – early 20th century    "
Sword with Carved Handle,https://www.brooklynmuseum.org/opencollection/objects/6336,"
      AinuSword with Carved Handlelate 19th–early 20th century    "
Necklace,https://www.brooklynmuseum.org/opencollection/objects/6712,"
      AinuNecklacelate 19th – early 20th century    "
"Mandalika Ragini, Page from a Dispersed Ragamala Series",https://www.brooklynmuseum.org/opencollection/objects/106225,"
      IndianMandalika Ragini, Page from a Dispersed Ragamala Seriesmid 18th century    "
"Portrait of Abu'l Hasan, the Last Sultan of Golconda",https://www.brooklynmuseum.org/opencollection/objects/124863,"
      MinuchihrPortrait of Abu'l Hasan, the Last Sultan of Golcondalate 17th–early 18th century    "
"Coffee Urn, ""Coronet Pattern"", Model No. 90121",https://www.brooklynmuseum.org/opencollection/objects/185956,"
      Walter von Nessen; Chase Brass & Copper Co., Inc.Coffee Urn, ""Coronet Pattern"", Model No. 901211938    "
"Sugar Bowl and Lid, ""Kent Pattern""",https://www.brooklynmuseum.org/opencollection/objects/185957,"
      Walter von Nessen; Chase Brass & Copper Co., Inc.Sugar Bowl and Lid, ""Kent Pattern""1938    "
"Creamer, ""Kent Pattern""",https://www.brooklynmuseum.org/opencollection/objects/185958,"
      Walter von Nessen; Chase Brass & Copper Co., Inc.Creamer, ""Kent Pattern""1938    "
"Tray, ""Festivity Pattern""",https://www.brooklynmuseum.org/opencollection/objects/185959,"
      Walter von Nessen; Chase Brass & Copper Co., Inc.Tray, ""Festivity Pattern""1938    "
Gathering of Nations,https://www.brooklynmuseum.org/opencollection/objects/186929,"
      Carol Emarthle-DouglasNorthern Arapaho–Seminole, born 1959Gathering of Nations2010    "
Houdon Paul-Louis,https://www.brooklynmuseum.org/opencollection/objects/207865,"
      Kehinde WileyAmerican, born 1977Houdon Paul-Louis2011    "
Saint Catherine of Siena,https://www.brooklynmuseum.org/opencollection/objects/979,"
      UnknownSaint Catherine of Siena17th century    "
The Flight Into Egypt,https://www.brooklynmuseum.org/opencollection/objects/980,"
      Cuzco SchoolThe Flight Into Egyptmid–18th century    "
Portrait of a Man,https://www.brooklynmuseum.org/opencollection/objects/34336,"
      Frans HalsDutch, ca. 1580–1666Portrait of a Manca. 1614–1615    "
Portrait of Jean de Carondelet,https://www.brooklynmuseum.org/opencollection/objects/60243,"
      Jan Cornelisz. VermeyenDutch, 1500–1559Portrait of Jean de Carondeletca. 1530    "
