Image,Education_URL,Title,Time Period,Author,Location
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-12392-001.jpg,https://www.metmuseum.org/art/collection/search/712946,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564584,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555418,String of blue faience amulets,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT2070.jpg,https://www.metmuseum.org/art/collection/search/13057,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564564,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-25_5_1a_EGDP028099.jpg,https://www.metmuseum.org/art/collection/search/552816,Winged Scarab Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT2944.jpg,https://www.metmuseum.org/art/collection/search/437794,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/556689,"String of amulets and beads: 2 rhomboid beads, 1 shell, 1 disk bead, 1 bottle amulet",ca. 2124–1504 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-59_100_7_EGDP036708.jpg,https://www.metmuseum.org/art/collection/search/555596,Monkey amulet,ca. 2150–1950 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-19632-001.jpg,https://www.metmuseum.org/art/collection/search/437610,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/546729,Toilet dish fragment,ca. 1900–1802 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555271,Bes in Boat Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-13728-001.jpg,https://www.metmuseum.org/art/collection/search/436708,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/544898,Ointment storage jar,ca. 1479–1425 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/89.2.322_acc.jpg,https://www.metmuseum.org/art/collection/search/555357,Bes amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/487401,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564659,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/23.10.39_EGDP017157.jpg,https://www.metmuseum.org/art/collection/search/561543,Bottle (?) amulet,664–380 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT238145.jpg,https://www.metmuseum.org/art/collection/search/11710,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/559273,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/560771,Falcon amulet,ca. 1981–1550 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP165250.jpg,https://www.metmuseum.org/art/collection/search/10393,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/546725,Small cup,ca. 1850–1802 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555349,Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP701344.jpg,https://www.metmuseum.org/art/collection/search/694642,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/14.6.274_EGDP015308.jpg,https://www.metmuseum.org/art/collection/search/559279,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-41_160_144_EGDP031439.jpg,https://www.metmuseum.org/art/collection/search/546156,Horus Falcon Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap17.96.jpg,https://www.metmuseum.org/art/collection/search/10890,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-31_3_113g_EGDP034960.jpg,https://www.metmuseum.org/art/collection/search/552513,String of beads and amulets,ca. 1070–343 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-12413-001.jpg,https://www.metmuseum.org/art/collection/search/437986,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/EP726.jpg,https://www.metmuseum.org/art/collection/search/435838,Virgin and Child in an Apse,Robert Campin,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/15.3.513_top.jpg,https://www.metmuseum.org/art/collection/search/544095,Butterfly amulet,ca. 1981–1640 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap24.109.82.jpg,https://www.metmuseum.org/art/collection/search/13196,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/26.7.1092_front.nk.jpg,https://www.metmuseum.org/art/collection/search/554633,Fragmentary Cartouche Amulet,ca. 1390–1352 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/cl/mobile-large/DP102886.jpg,https://www.metmuseum.org/art/collection/search/472381,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap26.185.jpg,https://www.metmuseum.org/art/collection/search/13098,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP123839.jpg,https://www.metmuseum.org/art/collection/search/435756,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT332111.jpg,https://www.metmuseum.org/art/collection/search/436089,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT5286.jpg,https://www.metmuseum.org/art/collection/search/436262,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT60.jpg,https://www.metmuseum.org/art/collection/search/10830,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap06.195.jpg,https://www.metmuseum.org/art/collection/search/11223,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT2056.jpg,https://www.metmuseum.org/art/collection/search/11602,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-34306-001.jpg,https://www.metmuseum.org/art/collection/search/439122,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT214417.jpg,https://www.metmuseum.org/art/collection/search/10850,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-15292-001.jpg,https://www.metmuseum.org/art/collection/search/700414,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP256059.jpg,https://www.metmuseum.org/art/collection/search/10049,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP281180.jpg,https://www.metmuseum.org/art/collection/search/438646,,,Unknown Author,"40.7794, -73.9632"
